,raceid,label,start,end
3618,2023092900106,T001FRV,6615,6920
3632,2022040500105,T001FR,24990,25230
3649,2022111300104,T001FRV,8440,8880
3653,2022111300104,T001FRV,6550,6970
3660,2022111300104,T001FRV,5940,6290
3668,2022111300104,T001FRV,7525,8035
3714,2023090700108,T001FR,6340,6665
3732,2023090700108,T001FR,10275,10825
3737,2023090700108,T001FR,11850,11955
3738,2023090700108,T001FR,11260,11490
3743,2023090700108,T001FR,8420,8670
3746,2023090700108,T001FR,9460,9830
3759,2022012300102,T001FRV,10305,10685
3786,2022092500106,T001FRV,13120,13880
3787,2022020600107,T001FRV,7605,8020
3791,2022060900106,T001FRV,6950,7290
3792,2023120800103,T001FRV,6970,7355
3796,2022060900106,T001FRV,6945,7005
3801,2021050700102,T001FR,12295,12635
3806,2023101000104,T001FRV,7265,7790
3817,2023101000104,T001FRV,8015,8580
3821,2023101000104,T001FRV,7210,7250
3822,2023101000104,T001FRV,6720,6930
3827,2023101000104,T001FRV,5950,6340
3832,2023120200105,T001FR,6940,7300
3836,2023120200105,T001FR,6860,6895
3840,2021051500107,T001FLV,6860,7170
3844,2021100500107,T001FR,9140,9270
3845,2021100500107,T001FR,6980,7365
3886,2021100500107,T001BACK,8740,8895
3889,2022120400109,T001FRV,6090,6360
3893,2022120400109,T001FRV,6830,7195
3911,2022050600102,T001FRV,7680,8020
3920,2022052000102,T001FRV,14015,14405
3924,2023082800105,T001FRV,6910,7290
3935,2024010300107,T001FRV,7905,8270
3938,2024010300107,T001FRV,6005,6460
3943,2022021500103,T001FRV,7110,7525
3947,2022021500103,T001FRV,9295,9800
3951,2022021500103,T001FRV,8200,8570
3955,2023020800107,T001FR,5900,6195
3959,2024010100102,T001FR,9880,10075
3963,2024010100102,T001FR,7755,8060
3968,2024010100102,T001FR,8830,9175
3973,2023111300108,T001FRV,6395,6765
3977,2023111300108,T001FRV,7610,7960
3982,2021062900104,T001FRV,25470,25955
3986,2022012300109,T001FR,22485,22740
3991,2022012300109,T001FR,19520,19815
3996,2021121100109,T001FRV,15670,15710
3998,2021092800104,T001FRV,17645,17745
4000,2023050200104,T001FR,6015,6425
4005,2023050200104,T001FR,6805,7185
4009,2022022100106,T001FR,10090,10140
4010,2022022100106,T001FR,7830,8200
4015,2022022100106,T001FR,6740,7115
4021,2022022100106,T001FR,8845,9280
4025,2023102000107,T001FRV,6210,6610
4041,2024020100105,T001FRV,5950,6375
4045,2024020100105,T001FRV,6900,7310
4049,2023011000105,T001FRV,7250,7740
4053,2023011000105,T001FRV,6255,6740
4061,2021120100102,T001FRV,21530,21970
4066,2021120100102,T001FRV,24035,24340
4069,2021120100102,T001FRV,27150,27630
4073,2021120100102,T001FRV,24800,25115
4077,2021120100102,T001FRV,26235,26305
4145,2022093000102,T001FRV,5630,6115
4159,2022121600108,T001FRV,5890,6050
4160,2021110800108,T001FRV,7262,7660
4167,2021112200106,T001FRV,9225,9735
4176,2024011200102,T001FR,6100,6410
4183,2022120700107,T001FRV,12900,13080
4185,2022120100106,T001FRV,5680,5815
4191,2023121000104,T001FLV,7385,7765
4201,2023121000104,T001FLV,8985,9185
4203,2023121000104,T001FLV,6480,6740
4208,2022040100102,T001FRV,8395,8835
4213,2022040100102,T001FRV,9575,10070
4217,2022092700104,T001FRV,20880,21385
4222,2022092700104,T001FRV,21765,22060
4227,2022092700104,T001FRV,22460,22860
4232,2022092700104,T001FRV,23230,23670
4237,2023010300101,T001FRV,6960,7035
4238,2023010300101,T001FRV,8255,8515
4244,2023010300101,T001FRV,5820,6190
4249,2024012000101,T001FR,6275,6535
4260,2023090800104,T001FRV,6450,6940
4268,2022100400103,T001FRV,6495,6840
4273,2022100400103,T001FRV,5860,6065
4289,2023112500105,T001FRV,8875,9360
4473,2021082800106,T001FRV,10815,11215
4483,2022012300108,T001FRV,23190,23540
4495,2023121200106,T001FR,7270,7550
4501,2023121200106,T001FR,8200,8585
4509,2023121200106,T001FR,6525,6835
4515,2023121200106,T001FR,12065,12450
4521,2021050400103,T001FRV,12065,12450
4525,2021050400103,T001FRV,10785,11215
4530,2023021900101,T001FRV,15800,16275
4534,2023021900101,T001FRV,5505,5965
4535,2023021900101,T001FRV,9970,10100
4536,2023021900101,T001FRV,16710,17085
4540,2023021900101,T001FRV,13510,13945
4548,2023021900101,T001FRV,6375,6895
4552,2023021900101,T001FRV,8890,9210
4557,2023021900101,T001FRV,10850,11290
4562,2022032600107,T001FRV,17810,18300
4566,2022032600107,T001FRV,16800,17220
4569,2022032600107,T001FRV,15610,16115
4581,2024021100105,T001FRV,7320,7565
4592,2024021100105,T001FRV,10205,10475
4599,2024021100105,T001FRV,6205,6470
4622,2021122200107,T001FRV,12275,12680
4643,2021122200107,T001FRV,11140,11410
4648,2023020400105,T001FR,7350,7590
4660,2022120600107,T001FRV,8745,8990
4710,2022120600107,T001FRV,11000,11380
4716,2022012900101,T001FRV,6985,7405
4736,2023121600107,T001FR,8240,8685
4747,2022091300106,T001FRV,6990,7375
4753,2023010400108,T001FRV,7575,7700
4759,2021090100105,T001FRV,17220,17780
4766,2021090100105,T001FRV,16180,16765
4823,2021050900106,T001FRV,13010,13550
4856,2021050900106,T001FRV,12990,13060
4858,2021050900106,T001FRV,14480,14930
4883,2022111500105,T001FR,7210,7675
4890,2022111500105,T001FR,6630,6810
4896,2022111500105,T001FR,5795,6095
4906,2023061600107,T001FRV,10915,11205
4910,2023061600107,T001FRV,7650,7715
4912,2023020600102,T001FR,6655,7055
4928,2022061000105,T001FRV,8850,9030
4938,2022061000105,T001FRV,9880,10425
4942,2022061000105,T001FRV,6435,6935
4946,2022061000105,T001FRV,10935,11485
4960,2022052400106,T001FR,18670,19080
4977,2022052400106,T001FR,17305,17765
4981,2023062500109,T001FRV,6270,6605
4985,2023092600106,T001FRV,6645,7045
4989,2023092600106,T001FRV,7680,8140
4993,2022062100108,T001FR,6625,6890
5015,2021120500101,T001FRV,8320,8855
5040,2021120500101,T001FRV,9610,10140
5044,2024021900103,T001FRV,10415,10795
5048,2024021900103,T001FRV,9490,9695
5050,2021082500106,T001FR,7160,7600
5055,2021122600101,T001FRV,11445,11555
5056,2021122600101,T001LEFT,11115,11435
5064,2023122600102,T001FR,6140,6450
5070,2023102800105,T001FR,6560,6855
5074,2023011000104,T001FR,6725,7030
5082,2022061000106,T001FRV,16590,17110
5090,2022061000106,T001FRV,15165,15335
5092,2023122400108,T001FLV,6780,6955
5096,2021122800101,T001FRV,7105,7245
5101,2021091400103,T001FRV,11015,11470
5107,2023112500108,T001FRV,7685,8140
5118,2023112500108,T001FRV,6570,7035
5130,2023112500108,T001FRV,8640,9070
5137,2022012200102,T001FRV,7260,7725
5153,2023111900105,T001DRONE,8200,8530
5159,2021112100101,T001FR,15015,15290
5163,2021112100101,T001FL,16035,16195
5213,2021052800103,T001FRV,6970,7335
5220,2022100700101,T001FRV,9690,10075
5227,2023120700105,T001FRV,6140,6475
5256,2022122100101,T001FRV,8470,8720
5263,2022122100101,T001FRV,7255,7645
5268,2023062700107,T001FRV,10645,11015
5278,2023062700107,T001FRV,7860,8200
5284,2023062700107,T001FRV,8695,9075
5289,2023062700107,T001FRV,6125,6570
5306,2024010700102,T001FRV,7905,8335
5313,2024010700102,T001FRV,9170,9535
5325,2024010700102,T001FRV,10225,10565
5329,2023110600108,T001FRV,6810,6970
5336,2022093000103,T001FRV,5750,6050
5340,2021111800103,T001FRV,8855,9150
5345,2022111000107,T001FRV,12805,13065
5353,2022111000107,T001FRV,14800,15170
5365,2022111000107,T001FRV,14605,14685
5391,2023121700109,T001FRV,7760,8140
5398,2021101900103,T001FRV,7690,8050
5405,2023062300104,T001FRV,6805,7200
5413,2023011800105,T001FRV,8000,8230
5418,2022010200101,T001LEFT,13365,13590
5423,2022010200101,T001LEFT,14420,14725
5428,2022010200101,T001LEFT,16825,17140
5432,2022111700107,T001FR,7095,7415
5439,2021123000103,T001FRV,7955,8185
5448,2021123000103,T001FRV,8825,9360
5452,2021123000103,T001FRV,6910,7320
5463,2021123000103,T001FRV,9700,10215
5509,2022120400103,T001FRV,14940,15020
5517,2022120400103,T001FRV,14135,14465
5533,2023120500101,T001FRV,6195,6525
5551,2023120500101,T001FRV,12000,12345
5555,2023120500101,T001FRV,8225,8535
5563,2023120500101,T001FRV,17315,17695
5572,2023120500101,T001FRV,15625,15900
5578,2023120500101,T001FRV,18155,18550
5582,2023120500101,T001FRV,6930,7325
5586,2023120500101,T001FRV,11105,11500
5590,2023120500101,T001FRV,10130,10490
5594,2023120500101,T001FRV,14710,15060
5598,2023120500101,T001FRV,16530,16910
5614,2023120500101,T001FRV,9070,9380
5626,2022120300103,T001FRV,7180,7580
5630,2021090300105,T001FR,6745,7110
5635,2021090300105,T001FR,6555,6585
5636,2022121700101,T001FR,16840,17165
5640,2022121700101,T001FR,12160,12375
5657,2022121700101,T001FR,15070,15350
5663,2023061000103,T001FRV,6635,7010
5667,2024012000104,T001FRV,6690,7020
5671,2024012100109,T001FR,8245,8435
5675,2024021300108,T001FRV,7670,7680
5678,2024021300108,T001FRV,8645,8900
5688,2021123000106,T001FRV,21230,21665
5698,2023011700102,T001FR,9490,9815
5702,2023011700102,T001FR,8385,8855
5707,2022082400102,T001FLV,6620,6980
5715,2023012900101,T001FRV,5875,6370
5721,2023012900101,T001FRV,7030,7345
5728,2023090100107,T001FR,6610,6835
5732,2023012300104,T001FRV,5510,5850
5737,2021112900108,T001FRV,7440,7695
5741,2023112500101,T001FRV,6740,7075
5745,2023052300101,T001FRV,6175,6215
5751,2022041600106,T001FRV,11880,12410
5756,2022041600106,T001FRV,13145,13515
5764,2023101700106,T001FRV,6070,6470
5768,2022020600103,T001FRV,17050,17435
5775,2022082000105,T001FR,6725,6785
5780,2021112900101,T001FRV,11030,11295
5785,2021111600104,T001FR,9005,9480
5791,2024010700101,T001FRV,6890,7245
5797,2023111300107,T001FRV,6430,6685
5801,2021111600103,T001FR,11010,11525
5805,2021111600103,T001FR,10020,10515
5809,2022110400107,T001FRV,6300,6680
5836,2022110400107,T001FRV,5495,5870
5881,2022010800103,T001FRV,8300,8715
5892,2024012500102,T001FRV,6380,6555
5899,2024011700101,T001FRV,6435,6795
5903,2023121300103,T001FR,7035,7380
5907,2023121300103,T001FR,6040,6480
5912,2021091400104,T001FR,11790,12150
5917,2021091400104,T001FR,7490,7855
5923,2021091400104,T001FR,13295,13390
5933,2021091400104,T001FR,8565,8990
5946,2023102700107,T001FR,7390,7835
5959,2023102700107,T001FR,8570,8850
5989,2022041600103,T001FRV,6795,7100
5995,2022111000103,T001FRV,6560,6615
5998,2024021900101,T001FRV,6245,6495
5999,2024021900101,T001FRV,23330,23745
6005,2024021900101,T001FRV,24235,24475
6009,2023120800107,T001FR,7550,7900
6014,2023120800107,T001FR,6785,7015
6022,2022030500103,T001FRV,6490,6860
6026,2021091700105,T001FRV,6925,7470
6032,2021091700105,T001FRV,12005,12505
6067,2021091700105,T001FRV,8880,9410
6078,2021091700105,T001FRV,9905,10260
6081,2023112500107,T001FRV,6960,7315
6096,2022122500104,T001FRV,7360,7730
6114,2021120700108,T001FR,8400,8810
6124,2021120700108,T001FR,9400,9705
6137,2023091500102,T001FRV,7195,7665
6185,2023091500102,T001FRV,6330,6710
6273,2023020400101,T001FR,10200,10625
6292,2023102000105,T001FRV,7155,7565
6302,2023102000105,T001FRV,6315,6690
6310,2022012200104,T001FRV,7930,8475
6316,2022012200104,T001FRV,9340,9735
6322,2022012200104,T001FRV,6765,7215
6335,2022012200104,T001FRV,9305,9410
6345,2023091700107,T001LEFT,6710,7155
6353,2022112600106,T001FRV,5800,6050
6365,2022012200105,T001FRV,7930,8225
6384,2021092400106,T001FRV,10195,10655
6389,2021092400106,T001FRV,10195,10250
6409,2022112600103,T001FRV,7385,7495
6418,2021041700107,T001FRV,23965,24365
6435,2021111900101,T001FRV,6965,7265
6449,2021042700106,T001FR,24545,25020
6453,2021042700106,T001FR,23270,23795
6462,2021092600101,T001FRV,13170,13680
6475,2021092600101,T001FRV,14160,14630
6497,2021092600101,T001FRV,12170,12625
6501,2023013000107,T001FRV,6400,6680
6508,2022100700104,T001FRV,6375,6815
6514,2022022700104,T001FR,8000,8200
6533,2023012600102,T001FRV,10980,11405
6540,2022053100104,T001FR,16725,17050
6556,2022053100104,T001FR,15675,16025
6579,2024010800108,T001FRV,5860,6135
6581,2023111700101,T001FRV,6945,7420
6592,2023011500108,T001FRV,7455,7705
6597,2023011500108,T001FRV,8200,8520
6649,2023011000106,T001FR,6545,6955
6670,2022051300104,T001FRV,7530,7925
6681,2023061000105,T001FRV,6785,7240
6693,2023090200104,T001FRV,6140,6515
6698,2023090200104,T001FRV,8075,8410
6712,2022082400107,T001FRV,7540,8065
6718,2022101800106,T001FRV,14325,14380
6719,2022101800106,T001FRV,13340,13660
6735,2024012000108,T001FRV,7670,8095
6740,2024012000108,T001FRV,6655,6745
6750,2023061600104,T001FRV,11305,11775
6754,2023061600104,T001FRV,7615,7980
6758,2023061600104,T001FRV,9860,10145
6765,2023061600104,T001FRV,10525,10765
6775,2023061600104,T001FRV,6575,6750
6780,2021101200108,T001FR,21140,21460
6788,2024010400104,T001FRV,6905,7360
6797,2023011500105,T001FRV,13105,13405
6806,2022013000111,T001FLV,16200,16750
6822,2022013000111,T001FLV,18115,18535
6826,2021062900103,T001FRV,21500,21550
6829,2021062900103,T001FRV,22775,23290
6845,2022010300107,T001FRV,11615,12105
6849,2022010300107,T001FRV,12600,13000
6853,2022010300107,T001FRV,13605,13935
6862,2022092700107,T001FR,27715,27900
6868,2024012100109,T001FR,7850,8110
6869,2023083000106,T001FRV,7265,7390
6870,2023083000106,T001FRV,6375,6690
6880,2021062900107,T001FRV,10990,11285
6938,2023062500106,T001FRV,8365,8680
7083,2023062500106,T001FRV,6255,6675
7090,2023062500106,T001FRV,10135,10440
7094,2023062500106,T001FRV,7395,7735
7104,2021062200103,T001FRV,7580,7925
7117,2023091500107,T001FRV,6585,6945
7132,2024021300105,T001FRV,7335,7725
7140,2024021300105,T001FRV,6395,6810
7149,2024010600101,T001FRV,6765,7190
7154,2024010600101,T001FRV,7825,8170
7166,2023030400103,T001FRV,5505,5855
7177,2021121300107,T001FRV,15440,15535
7191,2022012100106,T001FRV,6465,7050
7204,2022012100106,T001FRV,8730,9200
7217,2022012100106,T001FRV,7525,7715
7221,2023021900109,T001FRV,5460,5800
7225,2021051100105,T001FRV,22825,23135
7227,2021082500104,T001FRV,6705,7230
7233,2021082500104,T001FRV,6695,6790
7236,2022110800103,T001FR,10050,10260
7244,2022021300109,T001FRV,12070,12335
